Actividad,C1,C2,Impuesto,Año,Valor
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1993,1505436.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1993,0.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1993,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1993,812946.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1993,0.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1993,0.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1993,0.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1994,0.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1994,0.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1994,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1994,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1994,0.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1994,86477.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1994,0.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1994,0.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1994,0.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1994,0.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1994,0.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1994,0.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1994,1142775.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1994,733360.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1994,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1994,1801397.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1994,1775169.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1994,0.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1994,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1994,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1994,1035281.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1994,11292.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1995,16146.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1995,0.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1995,0.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1995,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1995,1149129.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1995,1436018.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1995,876066.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1995,0.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1995,0.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1995,129584.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1995,2218156.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1995,0.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1995,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1995,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1995,2334430.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1995,0.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1995,0.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1995,0.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1995,0.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1995,0.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1995,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1995,0.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1996,0.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1996,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1996,0.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1996,31978.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1996,148854.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1996,0.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1996,0.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1996,0.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1996,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1996,2753982.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1996,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1996,2888624.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1996,0.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1996,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1996,523913.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1996,0.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1996,1619137.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1996,906033.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1996,0.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1996,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1996,1292721.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1996,0.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1997,0.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1997,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1997,727219.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1997,0.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1997,0.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1997,0.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1997,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1997,1845332.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1997,2079276.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1997,3633544.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1997,3283057.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1997,0.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1997,1353553.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1997,0.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1997,0.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1997,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1997,0.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1997,130502.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1997,0.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1997,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1997,0.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1997,233157.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1998,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1998,4419149.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1998,0.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1998,2401536.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1998,0.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1998,0.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1998,1716858.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1998,12410.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1998,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1998,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1998,3589001.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1998,317176.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1998,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1998,1641863.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1998,0.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1998,0.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1998,0.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1998,0.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1998,0.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1998,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1998,923717.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1998,0.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1999,0.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1999,0.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1999,0.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1999,1438675.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1999,10616.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1999,880692.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1999,0.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1999,2134398.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1999,4594462.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1999,2105943.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1999,0.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1999,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1999,986390.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1999,0.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1999,336548.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1999,3947625.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1999,0.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1999,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1999,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1999,0.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1999,0.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1999,0.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,2000,0.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,2000,0.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,2000,0.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,2000,34038.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,2000,2474471.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,2000,1762238.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,2000,5052493.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,2000,2742842.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,2000,0.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),2000,0.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,2000,1036744.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,2000,0.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,2000,402693.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,2000,0.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,2000,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,2000,4576003.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,2000,1213585.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,2000,0.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,2000,0.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,2000,0.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,2000,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,2000,0.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,2001,420749.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,2001,0.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,2001,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,2001,3969717.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,2001,0.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,2001,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,2001,0.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,2001,1437359.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,2001,22000.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,2001,0.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,2001,0.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,2001,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,2001,2087178.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,2001,0.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,2001,0.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),2001,0.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,2001,2253310.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,2001,0.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,2001,0.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,2001,3152714.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,2001,5235224.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,2001,6291509.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,2002,0.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,2002,2150084.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,2002,3485896.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,2002,0.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,2002,0.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,2002,0.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),2002,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,2002,0.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,2002,13579.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,2002,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,2002,3635357.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,2002,0.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,2002,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,2002,7224636.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,2002,1408101.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,2002,5610841.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,2002,1250722.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,2002,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,2002,2340202.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,2002,0.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,2002,433977.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,2002,0.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,2003,20019.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,2003,8412194.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,2003,0.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,2003,511537.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,2003,1621500.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),2003,0.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,2003,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,2003,0.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,2003,0.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,2003,0.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,2003,0.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,2003,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,2003,0.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,2003,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,2003,6889780.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,2003,4129479.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,2003,2782378.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,2003,0.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,2003,4405051.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,2003,0.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,2003,2285380.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,2003,1227934.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,2004,0.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,2004,2380780.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,2004,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,2004,0.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,2004,574710.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,2004,5163343.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,2004,3169982.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,2004,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,2004,7840824.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,2004,88491.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,2004,0.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,2004,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,2004,0.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,2004,0.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,2004,0.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,2004,2237595.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),2004,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,2004,9408708.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,2004,0.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,2004,0.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,2004,454012.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,2004,6546626.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,2005,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,2005,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,2005,7923954.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,2005,8889565.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,2005,0.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,2005,474219.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,2005,0.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,2005,0.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,2005,6277481.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,2005,0.0
